,IDENTIFIANT_CREDIT,IDENTIFIANT_TIERS,VILLE_RC,REGION_RC,VILLE_TIERS,REGION_TIERS,DATE_CREATION_ENTREPRISE,CODE_SECT_ACTIVITE,CODE_BRANCHE_ACTIVITE,CODE_SSBRANCHE_ACT,NBRE_EMPLOI_ACREER,NBRE_EMPLOI_EXIST,ID_IFP,TAUX_INTERET,PERIODICITE,DATE_ACCORD,DUREE_CONCOURS,UNITE_DUREE_CONCOURS,DATE_PREMIER_DEBLOCAGE,CENTRE_AFFAIRE,FINALITE_CREDIT,CLASSE_RISQUE,NBRE_JOUR_IMPAYE,MONTANT_DEMANDE_MEJ,AGE1,AGE2,AGE3,ANTP1,ANTP2,ANTP3,CU,CV,CW,DO,DU,ENGA1,ENGA2,ENGA3,ET,EXP1,EXP2,EXP3,FF,FI,GI2,GI3,HA1,HA3,HA4,HA5,HDG,HP,HZ,JCX,KW,LFAS1,LFAS2,LFAS3,LOCALE,LP,LV,MC,MD,MP,MT,MU,NIVED1,NIVED2,NIVED3,NOTE11,NOTE12,NOTE13,NOTE14,PATR1,PATR2,PATR3,QALDE,RGI,DEFAUT
22,3116171,01A1784,OUARZAZATE,Drâa-Tafilalet,OUARZAZATE,Drâa-Tafilalet,02/03/2006,4521,45,452,1,660,24,5.0,Mensuelle,22/07/2019,48.0,mois,22/07/2019,CENTRE D’AFFAIRES D'AGADIR,Développement,C,2639.0,,0.0,0.0,0.0,0.0,0.0,0.0,23642368.75,7852094.25,15790274.5,11505744.25,14975961.0,0.0,0.0,0.0,31068287.25,0.0,0.0,0.0,11511.5,46870073.25,16305539.25,3118615.5,41607816.25,8026268.25,4194440.25,2926173.25,26740463.75,3681928.25,1878126.25,-981981.0,609859.25,0.0,0.0,0.0,0.0,17246979.75,4235731.5,21482711.25,11533772.25,14930916.0,10456446.0,46870073.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78938.5,1
23,3120955,01A1784,OUARZAZATE,Drâa-Tafilalet,OUARZAZATE,Drâa-Tafilalet,02/03/2006,4521,45,452,15,660,26,6.25,Quadrimestrielle,02/09/2019,2.0,an(s),18/09/2019,CENTRE D’AFFAIRES D'AGADIR,Développement,C,2309.0,,0.0,0.0,0.0,0.0,0.0,0.0,23642368.75,7852094.25,15790274.5,11505744.25,14975961.0,0.0,0.0,0.0,31068287.25,0.0,0.0,0.0,11511.5,46870073.25,16305539.25,3118615.5,41607816.25,8026268.25,4194440.25,2926173.25,26740463.75,3681928.25,1878126.25,-981981.0,609859.25,0.0,0.0,0.0,0.0,17246979.75,4235731.5,21482711.25,11533772.25,14930916.0,10456446.0,46870073.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78938.5,1
24,3106001,01A1836,RABAT,Rabat-Salé-Kénitra,,Autres,16/07/2008,5532,55,553,4,40,36,7.95,Mensuelle,09/05/2019,83.0,mois,,CENTRE D’AFFAIRES DE RABAT,Développement,D,,,,,,,,,5726000.0,2581000.0,3145000.0,828000.0,2345000.0,,,,4874000.0,,,,40000.0,8059000.0,8784000.0,7894000.0,9326000.0,2074000.0,1502000.0,1170000.0,6443000.0,517000.0,702000.0,-222000.0,370000.0,,,,,1382000.0,3547000.0,4929000.0,2082000.0,2542000.0,588000.0,8059000.0,,,,,,,,,,,,,0
25,3077388,01A1871,LARACHE,Tanger-Tétouan-Al Hoceima,,Autres,13/06/2014,117,1,11,0,155,34,6.5,Mensuelle,11/10/2018,36.0,mois,,CENTRE D’AFFAIRES DE TANGER,Développement,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
26,3101522,01A1883,MARRAKECH,Marrakech-Safi,MARRAKECH,Marrakech-Safi,07/10/2010,6022,60,602,2,26,23,7.5,Mensuelle,04/06/2019,48.0,mois,,CENTRE D’AFFAIRES DE MARRAKECH,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2617865.25,1852350.5,765514.75,0.0,2059557.5,0.0,0.0,0.0,2142140.0,0.0,0.0,0.0,215465.25,3123120.0,4715.5,3704.75,5611606.0,1137886.75,537036.5,664664.0,2949947.0,576576.0,221721.5,-24524.5,349349.0,0.0,0.0,0.0,0.0,1375874.5,136886.75,1512761.25,373373.0,1610358.75,0.0,3123120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11212.0,0
27,3057988,01A1889,SEFROU,Fès-Meknès,SEFROU,Fès-Meknès,28/04/2015,2670,26,267,0,64,28,7.0,Trimestrielle,30/03/2018,7.0,an(s),07/09/2018,CENTRE D’AFFAIRES DE FES,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,4615611.0,1299798.5,3315812.5,172172.0,1169918.75,0.0,0.0,0.0,3912158.25,0.0,0.0,0.0,1080329.25,8308300.0,9173.5,5391.75,12020008.0,3670667.0,2191939.75,2123621.5,5660154.5,1471720.25,1584583.0,-107857.75,1462210.75,0.0,0.0,0.0,0.0,3715962.25,1364613.25,5080575.5,2267515.25,3199696.5,37370.666666666664,8308300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23939.0,0
28,3063106,01A1928,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,01/01/1990,2523,25,252,2,0,22,1.0,Mensuelle,18/05/2018,84.0,mois,18/10/2018,CENTRE D’AFFAIRES DE CASABLANCA,Développement,C,,,0.0,0.0,0.0,0.0,0.0,0.0,23770246.5,8835827.0,14934419.5,7980973.0,11789027.25,0.0,0.0,0.0,22602329.75,0.0,0.0,0.0,56056.0,37592805.25,12077695.25,20523.75,24532007.5,6737230.5,2861108.25,1930428.5,10502241.75,3768514.75,978227.25,-687687.0,47547.5,0.0,0.0,0.0,0.0,9888628.75,0.0,9888628.75,11947435.5,18313295.0,9390881.5,37592805.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49015.0,0
29,3099702,01A1928,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,01/01/1990,2523,25,252,5,0,24,1.0,Mensuelle,01/04/2019,48.0,mois,31/12/2019,CENTRE D’AFFAIRES DE CASABLANCA,Développement,B,,,0.0,0.0,0.0,0.0,0.0,0.0,23770246.5,8835827.0,14934419.5,7980973.0,11789027.25,0.0,0.0,0.0,22602329.75,0.0,0.0,0.0,56056.0,37592805.25,12077695.25,20523.75,24532007.5,6737230.5,2861108.25,1930428.5,10502241.75,3768514.75,978227.25,-687687.0,47547.5,0.0,0.0,0.0,0.0,9888628.75,0.0,9888628.75,11947435.5,18313295.0,9390881.5,37592805.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49015.0,0
30,3110572,01A2261,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,03/06/2009,7134,71,713,0,60,24,1.0,Mensuelle,14/06/2019,48.0,mois,14/06/2019,CENTRE D’AFFAIRES DE FES,Développement,C,2987.0,,0.0,0.0,0.0,0.0,0.0,0.0,3621117.5,1561810.25,2059307.25,0.0,19337318.0,0.0,0.0,0.0,23165892.75,0.0,0.0,0.0,140140.0,25365340.0,22382360.0,10661185.5,23712689.0,1269518.25,1107356.25,465965.5,20932912.0,95595.5,1028527.5,-588588.0,387136.75,0.0,0.0,0.0,0.0,11455193.75,0.0,11455193.75,4263008.75,8429921.5,5480224.75,25365340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47378.0,1
31,3111007,01A2261,CASABLANCA,Casablanca-Settat,CASABLANCA,Casablanca-Settat,03/06/2009,5166,51,516,0,60,24,0.0,Mensuelle,18/06/2019,48.0,mois,18/06/2019,CENTRE D’AFFAIRES DE FES,Développement,B,2965.0,,0.0,0.0,0.0,0.0,0.0,0.0,3621117.5,1561810.25,2059307.25,0.0,19337318.0,0.0,0.0,0.0,23165892.75,0.0,0.0,0.0,140140.0,25365340.0,22382360.0,10661185.5,23712689.0,1269518.25,1107356.25,465965.5,20932912.0,95595.5,1028527.5,-588588.0,387136.75,0.0,0.0,0.0,0.0,11455193.75,0.0,11455193.75,4263008.75,8429921.5,5480224.75,25365340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47378.0,1
